Price,Close,High,Low,Open,Volume,processed_at,z_score,is_anomaly
2026-03-13 00:01:00+00:00,70446.8671875,70446.8671875,70446.8671875,70446.8671875,0,2026-03-13 19:06:14.883439,-2.9455770415816054,False
2026-03-13 00:02:00+00:00,70429.53125,70429.53125,70429.53125,70429.53125,5390336,2026-03-13 19:06:14.883439,-2.988873113040855,False
2026-03-13 00:03:00+00:00,70426.640625,70426.640625,70426.640625,70426.640625,0,2026-03-13 19:06:14.883439,-2.996092376871374,False
2026-03-13 00:05:00+00:00,70491.6484375,70491.6484375,70491.6484375,70491.6484375,51617792,2026-03-13 19:06:14.883439,-2.833736986780155,False
2026-03-13 00:06:00+00:00,70574.625,70574.625,70574.625,70574.625,28631040,2026-03-13 19:06:14.883439,-2.6265050917965187,False
2026-03-13 00:08:00+00:00,70617.7890625,70617.7890625,70617.7890625,70617.7890625,114479104,2026-03-13 19:06:14.883439,-2.518703922435386,False
2026-03-13 00:09:00+00:00,70577.703125,70577.703125,70577.703125,70577.703125,1585152,2026-03-13 19:06:14.883439,-2.6188175513932093,False
2026-03-13 00:11:00+00:00,70738.78125,70738.78125,70738.78125,70738.78125,37228544,2026-03-13 19:06:14.883439,-2.2165289523184883,False
2026-03-13 00:12:00+00:00,70766.609375,70766.609375,70766.609375,70766.609375,33284096,2026-03-13 19:06:14.883439,-2.1470289043068402,False
2026-03-13 00:13:00+00:00,70949.1875,70949.1875,70949.1875,70949.1875,0,2026-03-13 19:06:14.883439,-1.691044591552149,False
2026-03-13 00:15:00+00:00,71084.046875,71084.046875,71084.046875,71084.046875,76754944,2026-03-13 19:06:14.883439,-1.3542366665726246,False
2026-03-13 00:16:00+00:00,71382.3671875,71382.3671875,71382.3671875,71382.3671875,0,2026-03-13 19:06:14.883439,-0.6091891277391676,False
2026-03-13 00:17:00+00:00,71505.453125,71505.453125,71505.453125,71505.453125,59248640,2026-03-13 19:06:14.883439,-0.3017850692261097,False
2026-03-13 00:18:00+00:00,71420.7890625,71420.7890625,71420.7890625,71420.7890625,41275392,2026-03-13 19:06:14.883439,-0.5132314533648599,False
2026-03-13 00:19:00+00:00,71329.625,71329.625,71329.625,71329.625,344723456,2026-03-13 19:06:14.883439,-0.7409114253603453,False
2026-03-13 00:20:00+00:00,71283.4375,71283.4375,71283.4375,71283.4375,397312,2026-03-13 19:06:14.883439,-0.8562635544577237,False
2026-03-13 00:21:00+00:00,71484.125,71484.125,71484.125,71484.125,16580608,2026-03-13 19:06:14.883439,-0.3550515293810223,False
2026-03-13 00:23:00+00:00,71691.4765625,71691.4765625,71691.4765625,71691.4765625,0,2026-03-13 19:06:14.883439,0.1628038255536061,False
2026-03-13 00:24:00+00:00,71639.5078125,71639.5078125,71639.5078125,71639.5078125,19124224,2026-03-13 19:06:14.883439,0.033013168795188993,False
2026-03-13 00:25:00+00:00,71555.3671875,71555.3671875,71555.3671875,71555.3671875,1044889600,2026-03-13 19:06:14.883439,-0.17712594324452116,False
2026-03-13 00:26:00+00:00,71600.1640625,71600.1640625,71600.1640625,71600.1640625,15142912,2026-03-13 19:06:14.883439,-0.06524686539533843,False
2026-03-13 00:27:00+00:00,71540.7890625,71540.7890625,71540.7890625,71540.7890625,0,2026-03-13 19:06:14.883439,-0.21353444677897793,False
2026-03-13 00:28:00+00:00,71475.2265625,71475.2265625,71475.2265625,71475.2265625,14372864,2026-03-13 19:06:14.883439,-0.37727515506470194,False
2026-03-13 00:29:00+00:00,71425.5390625,71425.5390625,71425.5390625,71425.5390625,3964928,2026-03-13 19:06:14.883439,-0.5013684468541687,False
2026-03-13 00:31:00+00:00,71726.953125,71726.953125,71726.953125,71726.953125,547749888,2026-03-13 19:06:14.883439,0.25140565543033067,False
2026-03-13 00:32:00+00:00,71923.4296875,71923.4296875,71923.4296875,71923.4296875,47841280,2026-03-13 19:06:14.883439,0.7421009691431135,False
2026-03-13 00:34:00+00:00,71953.484375,71953.484375,71953.484375,71953.484375,0,2026-03-13 19:06:14.883439,0.8171618014566479,False
2026-03-13 00:35:00+00:00,71948.0078125,71948.0078125,71948.0078125,71948.0078125,20258816,2026-03-13 19:06:14.883439,0.8034842232263937,False
2026-03-13 00:36:00+00:00,71891.8125,71891.8125,71891.8125,71891.8125,9924608,2026-03-13 19:06:14.883439,0.6631378320563255,False
2026-03-13 00:38:00+00:00,71767.4609375,71767.4609375,71767.4609375,71767.4609375,427294720,2026-03-13 19:06:14.883439,0.3525729066769321,False
2026-03-13 00:39:00+00:00,71764.2734375,71764.2734375,71764.2734375,71764.2734375,7426048,2026-03-13 19:06:14.883439,0.34461220493949457,False
2026-03-13 00:41:00+00:00,71744.4375,71744.4375,71744.4375,71744.4375,153194496,2026-03-13 19:06:14.883439,0.29507244584303927,False
2026-03-13 00:42:00+00:00,71647.765625,71647.765625,71647.765625,71647.765625,2772992,2026-03-13 19:06:14.883439,0.05363684952183464,False
2026-03-13 00:44:00+00:00,71527.5625,71527.5625,71527.5625,71527.5625,77594624,2026-03-13 19:06:14.883439,-0.24656745668457025,False
2026-03-13 00:45:00+00:00,71525.2265625,71525.2265625,71525.2265625,71525.2265625,4554752,2026-03-13 19:06:14.883439,-0.2524014023205845,False
2026-03-13 00:46:00+00:00,71500.7109375,71500.7109375,71500.7109375,71500.7109375,240259072,2026-03-13 19:06:14.883439,-0.31362856421293456,False
2026-03-13 00:47:00+00:00,71452.8046875,71452.8046875,71452.8046875,71452.8046875,0,2026-03-13 19:06:14.883439,-0.4332732285608921,False
2026-03-13 00:48:00+00:00,71485.375,71485.375,71485.375,71485.375,13500416,2026-03-13 19:06:14.883439,-0.3519296855624193,False
2026-03-13 00:49:00+00:00,71464.0234375,71464.0234375,71464.0234375,71464.0234375,136884224,2026-03-13 19:06:14.883439,-0.40525468028893075,False
2026-03-13 00:50:00+00:00,71320.5625,71320.5625,71320.5625,71320.5625,6889472,2026-03-13 19:06:14.883439,-0.7635447930452165,False
2026-03-13 00:52:00+00:00,71392.8515625,71392.8515625,71392.8515625,71392.8515625,601640960,2026-03-13 19:06:14.883439,-0.5830046627106354,False
2026-03-13 00:53:00+00:00,71375.5,71375.5,71375.5,71375.5,0,2026-03-13 19:06:14.883439,-0.6263397572176175,False
2026-03-13 00:54:00+00:00,71378.2578125,71378.2578125,71378.2578125,71378.2578125,6156288,2026-03-13 19:06:14.883439,-0.6194521892928248,False
2026-03-13 00:56:00+00:00,71340.46875,71340.46875,71340.46875,71340.46875,86929408,2026-03-13 19:06:14.883439,-0.7138294302339647,False
2026-03-13 00:57:00+00:00,71329.1875,71329.1875,71329.1875,71329.1875,0,2026-03-13 19:06:14.883439,-0.7420040706968563,False
2026-03-13 00:58:00+00:00,71314.6171875,71314.6171875,71314.6171875,71314.6171875,210456576,2026-03-13 19:06:14.883439,-0.7783930627074468,False
2026-03-13 00:59:00+00:00,71391.15625,71391.15625,71391.15625,71391.15625,2080768,2026-03-13 19:06:14.883439,-0.5872386633896157,False
2026-03-13 01:01:00+00:00,71624.4140625,71624.4140625,71624.4140625,71624.4140625,0,2026-03-13 19:06:14.883439,-0.004683095314441466,False
2026-03-13 01:03:00+00:00,71626.6953125,71626.6953125,71626.6953125,71626.6953125,0,2026-03-13 19:06:14.883439,0.001014269654508893,False
2026-03-13 01:04:00+00:00,71599.25,71599.25,71599.25,71599.25,0,2026-03-13 19:06:14.883439,-0.06752971368769183,False
2026-03-13 01:05:00+00:00,71556.5078125,71556.5078125,71556.5078125,71556.5078125,0,2026-03-13 19:06:14.883439,-0.174277260760046,False
2026-03-13 01:06:00+00:00,71621.21875,71621.21875,71621.21875,71621.21875,2330624,2026-03-13 19:06:14.883439,-0.012663308575745222,False
2026-03-13 01:07:00+00:00,71669.3984375,71669.3984375,71669.3984375,71669.3984375,532639744,2026-03-13 19:06:14.883439,0.10766425910753172,False
2026-03-13 01:09:00+00:00,71616.5625,71616.5625,71616.5625,71616.5625,2445312,2026-03-13 19:06:14.883439,-0.02429217680004116,False
2026-03-13 01:11:00+00:00,71654.8671875,71654.8671875,71654.8671875,71654.8671875,50544640,2026-03-13 19:06:14.883439,0.07137282471627257,False
2026-03-13 01:13:00+00:00,71670.890625,71670.890625,71670.890625,71670.890625,47878144,2026-03-13 19:06:14.883439,0.11139096016598897,False
2026-03-13 01:14:00+00:00,71619.9609375,71619.9609375,71619.9609375,71619.9609375,1359872,2026-03-13 19:06:14.883439,-0.015804663918214428,False
2026-03-13 01:15:00+00:00,71611.1171875,71611.1171875,71611.1171875,71611.1171875,0,2026-03-13 19:06:14.883439,-0.0378917089348302,False
2026-03-13 01:16:00+00:00,71627.3515625,71627.3515625,71627.3515625,71627.3515625,101576704,2026-03-13 19:06:14.883439,0.0026532376592754347,False
2026-03-13 01:17:00+00:00,71658.0625,71658.0625,71658.0625,71658.0625,0,2026-03-13 19:06:14.883439,0.07935303797757633,False
2026-03-13 01:18:00+00:00,71682.234375,71682.234375,71682.234375,71682.234375,26673152,2026-03-13 19:06:14.883439,0.13972169281981062,False
2026-03-13 01:19:00+00:00,71647.640625,71647.640625,71647.640625,71647.640625,0,2026-03-13 19:06:14.883439,0.053324665139974345,False
2026-03-13 01:21:00+00:00,71636.21875,71636.21875,71636.21875,71636.21875,880640,2026-03-13 19:06:14.883439,0.024798817247490015,False
2026-03-13 01:22:00+00:00,71591.125,71591.125,71591.125,71591.125,87838720,2026-03-13 19:06:14.883439,-0.08782169850861092,False
2026-03-13 01:23:00+00:00,71536.1171875,71536.1171875,71536.1171875,71536.1171875,0,2026-03-13 19:06:14.883439,-0.2252023380510064,False
2026-03-13 01:25:00+00:00,71502.3515625,71502.3515625,71502.3515625,71502.3515625,0,2026-03-13 19:06:14.883439,-0.30953114420101824,False
2026-03-13 01:26:00+00:00,71485.953125,71485.953125,71485.953125,71485.953125,0,2026-03-13 19:06:14.883439,-0.3504858327963155,False
2026-03-13 01:27:00+00:00,71519.234375,71519.234375,71519.234375,71519.234375,0,2026-03-13 19:06:14.883439,-0.26736674112601233,False
2026-03-13 01:28:00+00:00,71571.140625,71571.140625,71571.140625,71571.140625,0,2026-03-13 19:06:14.883439,-0.13773217655852538,False
2026-03-13 01:29:00+00:00,71572.7265625,71572.7265625,71572.7265625,71572.7265625,2076672,2026-03-13 19:06:14.883439,-0.1337713372136729,False
2026-03-13 01:30:00+00:00,71545.3828125,71545.3828125,71545.3828125,71545.3828125,2789376,2026-03-13 19:06:14.883439,-0.20206167074561213,False
2026-03-13 01:31:00+00:00,71538.0078125,71538.0078125,71538.0078125,71538.0078125,0,2026-03-13 19:06:14.883439,-0.22048054927536945,False
2026-03-13 01:32:00+00:00,71544.28125,71544.28125,71544.28125,71544.28125,0,2026-03-13 19:06:14.883439,-0.20481279561075597,False
2026-03-13 01:33:00+00:00,71519.6171875,71519.6171875,71519.6171875,71519.6171875,0,2026-03-13 19:06:14.883439,-0.26641067645656513,False
2026-03-13 01:34:00+00:00,71583.734375,71583.734375,71583.734375,71583.734375,504442880,2026-03-13 19:06:14.883439,-0.10627960008610078,False
2026-03-13 01:35:00+00:00,71520.40625,71520.40625,71520.40625,71520.40625,0,2026-03-13 19:06:14.883439,-0.2644400125460721,False
2026-03-13 01:36:00+00:00,71464.9140625,71464.9140625,71464.9140625,71464.9140625,7888896,2026-03-13 19:06:14.883439,-0.40303036656817615,False
2026-03-13 01:37:00+00:00,71394.28125,71394.28125,71394.28125,71394.28125,0,2026-03-13 19:06:14.883439,-0.5794340538431083,False
2026-03-13 01:38:00+00:00,71346.1328125,71346.1328125,71346.1328125,71346.1328125,6369280,2026-03-13 19:06:14.883439,-0.6996835754309202,False
2026-03-13 01:39:00+00:00,71329.6796875,71329.6796875,71329.6796875,71329.6796875,0,2026-03-13 19:06:14.883439,-0.7407748446932814,False
2026-03-13 01:40:00+00:00,71374.703125,71374.703125,71374.703125,71374.703125,0,2026-03-13 19:06:14.883439,-0.6283299326519768,False
2026-03-13 01:41:00+00:00,71497.34375,71497.34375,71497.34375,71497.34375,2060288,2026-03-13 19:06:14.883439,-0.32203803099929623,False
2026-03-13 01:42:00+00:00,71485.7265625,71485.7265625,71485.7265625,71485.7265625,2801664,2026-03-13 19:06:14.883439,-0.35105166698843726,False
2026-03-13 01:43:00+00:00,71654.8828125,71654.8828125,71654.8828125,71654.8828125,39276544,2026-03-13 19:06:14.883439,0.07141184776400511,False
